,book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn13,original_publication_year,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
book_id,1.0,0.1151542250729873,0.10451581042885268,0.11386077336475141,-0.2638407143748987,-0.011291037256919776,0.049874666073990714,-0.04087978276976166,-0.37317805088282024,-0.38265644900402224,-0.4192924520469794,-0.23940143054993687,-0.34576390293162224,-0.41327940995578105,-0.407078870043465,-0.33248551987800284
goodreads_book_id,0.1151542250729873,1.0,0.9666202280510783,0.9293557951065965,-0.1645781132281244,-0.048245952597144155,0.13378973916430703,-0.024848366694833045,-0.07302296072682894,-0.06376009930046676,0.11884477199004521,-0.03837517827163446,-0.05657115661164492,-0.07563401403101903,-0.06331040494862238,-0.05614467450588117
best_book_id,0.10451581042885268,0.9666202280510783,1.0,0.899258347865944,-0.15923978629895047,-0.047252526943741505,0.13144232652162838,-0.021186976943576245,-0.06918188865834952,-0.05583462320172786,0.12589277062401424,-0.033893810676640795,-0.049284209763921276,-0.06701410382837872,-0.05446200723576491,-0.04952448011831339
work_id,0.11386077336475141,0.9293557951065965,0.899258347865944,1.0,-0.10943559449223915,-0.0393197951737402,0.10797162836357632,-0.017555424736745106,-0.06272043125204012,-0.05471209877738029,0.09698531520142002,-0.034590254483539334,-0.051366817603748526,-0.06674590238429455,-0.05477538394045195,-0.046745347013583224
books_count,-0.2638407143748987,-0.1645781132281244,-0.15923978629895047,-0.10943559449223915,1.0,0.01786488362256092,-0.3217531031422836,-0.06988827020098386,0.3242348400810117,0.33366387680574255,0.19869788167736252,0.22576273903712912,0.3349232577047334,0.38369948855820096,0.34956406578445615,0.27955872502528073
isbn13,-0.011291037256919776,-0.048245952597144155,-0.047252526943741505,-0.0393197951737402,0.01786488362256092,1.0,-0.004612142594340622,-0.025666863935200186,0.008903588958501078,0.009165556880160772,0.009552855041821896,0.006053691774245719,0.010345488455756223,0.012142495347605963,0.01016078352384304,0.00662185372766455
original_publication_year,0.049874666073990714,0.13378973916430703,0.13144232652162838,0.10797162836357632,-0.3217531031422836,-0.004612142594340622,1.0,0.0156076323528747,-0.024414654755946636,-0.025447788404635636,0.02778408245045902,-0.019635002082817942,-0.038471574749467365,-0.04245918471512096,-0.025784748122810508,-0.015387714953839551
average_rating,-0.04087978276976166,-0.024848366694833045,-0.021186976943576245,-0.017555424736745106,-0.06988827020098386,-0.025666863935200186,0.0156076323528747,1.0,0.044990392631164666,0.045041585239413644,0.007481118668807443,-0.07799662415522204,-0.11587493746995214,-0.06523721099791854,0.03610823293618192,0.11541208691328027
ratings_count,-0.37317805088282024,-0.07302296072682894,-0.06918188865834952,-0.06272043125204012,0.3242348400810117,0.008903588958501078,-0.024414654755946636,0.044990392631164666,1.0,0.9950684522356626,0.7796353168906955,0.7231441619049627,0.8459485246688129,0.9351934053602183,0.9788692684580528,0.9640458485933925
work_ratings_count,-0.38265644900402224,-0.06376009930046676,-0.05583462320172786,-0.05471209877738029,0.33366387680574255,0.009165556880160772,-0.025447788404635636,0.045041585239413644,0.9950684522356626,1.0,0.8070090183152882,0.7187183512028753,0.8485810158231092,0.9411824055564031,0.9877642872458879,0.9665873189308573
work_text_reviews_count,-0.4192924520469794,0.11884477199004521,0.12589277062401424,0.09698531520142002,0.19869788167736252,0.009552855041821896,0.02778408245045902,0.007481118668807443,0.7796353168906955,0.8070090183152882,1.0,0.5720071017104471,0.6968802649438623,0.762214166706411,0.8178258148008882,0.7649396724079743
ratings_1,-0.23940143054993687,-0.03837517827163446,-0.033893810676640795,-0.034590254483539334,0.22576273903712912,0.006053691774245719,-0.019635002082817942,-0.07799662415522204,0.7231441619049627,0.7187183512028753,0.5720071017104471,1.0,0.9261401860414354,0.7953640691170768,0.6729856038240589,0.5972311516820766
ratings_2,-0.34576390293162224,-0.05657115661164492,-0.049284209763921276,-0.051366817603748526,0.3349232577047334,0.010345488455756223,-0.038471574749467365,-0.11587493746995214,0.8459485246688129,0.8485810158231092,0.6968802649438623,0.9261401860414354,1.0,0.9495959703558788,0.8382981781852077,0.7057468894904011
ratings_3,-0.41327940995578105,-0.07563401403101903,-0.06701410382837872,-0.06674590238429455,0.38369948855820096,0.012142495347605963,-0.04245918471512096,-0.06523721099791854,0.9351934053602183,0.9411824055564031,0.762214166706411,0.7953640691170768,0.9495959703558788,1.0,0.9529981100422881,0.825550026910667
ratings_4,-0.407078870043465,-0.06331040494862238,-0.05446200723576491,-0.05477538394045195,0.34956406578445615,0.01016078352384304,-0.025784748122810508,0.03610823293618192,0.9788692684580528,0.9877642872458879,0.8178258148008882,0.6729856038240589,0.8382981781852077,0.9529981100422881,1.0,0.933784987816964
ratings_5,-0.33248551987800284,-0.05614467450588117,-0.04952448011831339,-0.046745347013583224,0.27955872502528073,0.00662185372766455,-0.015387714953839551,0.11541208691328027,0.9640458485933925,0.9665873189308573,0.7649396724079743,0.5972311516820766,0.7057468894904011,0.825550026910667,0.933784987816964,1.0
