,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
year,1.0,0.04684610051502284,0.0801038042092043,-0.043073662490006374,0.16802616683445498,0.23297364128772255,0.03086444784813772,-0.08213550694924891,0.013052478449081329,0.2076422697785905
Life Ladder,0.04684610051502284,1.0,0.7835562687553224,0.7227383546061082,0.7149267857617213,0.5382097259777253,0.1773984122978725,-0.43048504537012405,0.5152831989958622,-0.3524120124832057
Log GDP per capita,0.0801038042092043,0.7835562687553224,1.0,0.6853285024924187,0.8193259264445769,0.36481604533095585,-0.0007659847139494051,-0.3538925582135235,0.2308681589786361,-0.2606891913521718
Social support,-0.043073662490006374,0.7227383546061082,0.6853285024924187,1.0,0.5977870467057778,0.40413086354010685,0.06523987499766251,-0.22140950297465545,0.42452443789791866,-0.45487764009062776
Healthy life expectancy at birth,0.16802616683445498,0.7149267857617213,0.8193259264445769,0.5977870467057778,1.0,0.37574513947224963,0.015168207483191342,-0.303129985574044,0.21798223187372157,-0.15032954194441223
Freedom to make life choices,0.23297364128772255,0.5382097259777253,0.36481604533095585,0.40413086354010685,0.37574513947224963,1.0,0.32139585162490525,-0.46602264599269855,0.5783981600148212,-0.27895931560861464
Generosity,0.03086444784813772,0.1773984122978725,-0.0007659847139494051,0.06523987499766251,0.015168207483191342,0.32139585162490525,1.0,-0.2700039823813803,0.3006076315281511,-0.07197460755980206
Perceptions of corruption,-0.08213550694924891,-0.43048504537012405,-0.3538925582135235,-0.22140950297465545,-0.303129985574044,-0.46602264599269855,-0.2700039823813803,1.0,-0.2742083415576299,0.2655554332512859
Positive affect,0.013052478449081329,0.5152831989958622,0.2308681589786361,0.42452443789791866,0.21798223187372157,0.5783981600148212,0.3006076315281511,-0.2742083415576299,1.0,-0.33445111286959034
Negative affect,0.2076422697785905,-0.3524120124832057,-0.2606891913521718,-0.45487764009062776,-0.15032954194441223,-0.27895931560861464,-0.07197460755980206,0.2655554332512859,-0.33445111286959034,1.0
